,product_id,label_reg_qual,label_reg_cls,label_cls_cls,label_meta_learning,label_lb_0.748,label_lb_0.758,label_opt,label_public_cls_cls,label_public_reg_cls_multimodels,label_public_reg_cls_singlemodel,majority_voting,label
0,TEST_000,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
1,TEST_001,1,1,2,2,1,1,2,2,1,1,"[(1, 6), (2, 4)]",1
2,TEST_002,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
3,TEST_003,0,0,1,1,0,0,0,1,1,1,"[(0, 5), (1, 5)]",0
4,TEST_004,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
5,TEST_005,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
6,TEST_006,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
7,TEST_007,0,0,0,0,0,0,0,0,0,0,"[(0, 10)]",0
8,TEST_008,0,0,0,0,0,0,0,0,0,0,"[(0, 10)]",0
9,TEST_009,2,1,1,1,1,1,1,1,1,1,"[(1, 9), (2, 1)]",1
10,TEST_010,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
11,TEST_011,2,1,1,1,1,1,1,1,1,1,"[(1, 9), (2, 1)]",1
12,TEST_012,2,1,1,1,1,1,1,1,1,1,"[(1, 9), (2, 1)]",1
13,TEST_013,0,0,0,0,0,0,0,0,0,0,"[(0, 10)]",0
14,TEST_014,0,0,0,0,0,0,0,0,0,0,"[(0, 10)]",0
15,TEST_015,0,0,1,1,1,1,1,1,1,1,"[(1, 8), (0, 2)]",1
16,TEST_016,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
17,TEST_017,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
18,TEST_018,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
19,TEST_019,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
20,TEST_020,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
21,TEST_021,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
22,TEST_022,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
23,TEST_023,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
24,TEST_024,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
25,TEST_025,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
26,TEST_026,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
27,TEST_027,1,0,1,1,1,1,1,1,1,1,"[(1, 9), (0, 1)]",1
28,TEST_028,0,1,1,1,1,1,1,1,1,1,"[(1, 9), (0, 1)]",1
29,TEST_029,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
30,TEST_030,0,1,1,1,1,1,1,1,1,1,"[(1, 9), (0, 1)]",1
31,TEST_031,1,2,1,1,1,1,1,1,1,1,"[(1, 9), (2, 1)]",1
32,TEST_032,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
33,TEST_033,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
34,TEST_034,1,1,1,1,1,1,1,1,1,1,"[(1, 10)]",1
35,TEST_035,0,0,0,0,0,0,0,0,0,0,"[(0, 10)]",0
36,TEST_036,1,1,0,0,1,0,0,0,0,1,"[(0, 6), (1, 4)]",0
37,TEST_037,0,0,0,0,0,0,0,0,0,0,"[(0, 10)]",0
38,TEST_038,2,1,1,1,2,2,2,1,2,2,"[(2, 6), (1, 4)]",2
